,user_id,lexeme_id,n_correct,n_seen
84,u:fVGG,65f61449087b9dbb2083da5a93210fd0,11.0,11.0
85,u:hMCY,1a58b2277c3e1f719702fa8b688f702d,2.0,3.0
86,u:hfhW,9ce1fe6a87fc1751c12e1c36874f49b8,5.0,6.0
87,u:dy9Q,768f410a8fc1caa64ee36071082a231c,2.0,3.0
88,u:jbc3,389d16a7713404bf18de999b57a54eae,3.0,3.0
89,u:fSep,61c2f4dd9c024c9d99910ba2b04590b1,16.0,16.0
90,u:l7X,e15f13f230d129ce73b482d92222ae79,4.0,5.0
91,u:hsHB,a6887fac2c3601b50b3e462a45cc776e,3.0,3.0
92,u:h-7K,ab94aae2b451eece63b55c712145ad61,4.0,5.0
93,u:f628,7b2e60314cad24be935a55062cb7f65e,9.0,10.0
94,u:hYvD,b3240d21fd450022647d50a64c18cace,3.0,3.0
95,u:iPEk,92545dc760008a4cdb29e841e6121952,5.0,6.0
96,u:fqcS,51fb73a04c05d6b9cc036aafd897a0ec,6.0,7.0
97,u:hxsj,e16c578226476ae646530b6356f9b0ad,3.0,4.0
98,u:hJWQ,cd6d617c7071b0bb4b0863ab14ff6d80,4.0,5.0
99,u:h57s,698a096a49f8a164caa5dcbfad271fd8,8.0,10.0
100,u:iPvv,2426304db5c90727ddc772ceaf7aa4d8,2.0,2.0
101,u:fThd,fae183cfa6a19d79e500f55f55775e68,5.0,7.0
102,u:dyE3,88865d60bba3719fc0ef85c0c839fc64,15.0,18.0
103,u:i234,7a271d40b9230ab5e12de433c00506fa,2.0,2.0
104,u:jb_n,390ca9c2868c14c5616c460e4f31762c,3.0,3.0
105,u:iZdI,4394441ba69a3c608cfb446795ad2655,3.0,3.0
106,u:ivHY,4ad91daf2782488b52b80fd4f2288c51,3.0,3.0
107,u:hwz0,0ed4e535d399f10f462b2f1e51b97d3f,3.0,3.0
108,u:hRhT,5553a0dd1adb8ab01dcff49a7a2190e0,5.0,5.0
109,u:hDM4,777af91e5fa39ec1ae6ce2b5570185d9,5.0,6.0
110,u:foV9,678bfa5d0ccd050c12395a792abaff12,7.0,8.0
111,u:iVP,89572d2ea236692120e191282b17695c,8.0,8.0
112,u:iCa8,5cd2980e6883c8c03e38cfd7405a681b,11.0,11.0
113,u:hIOZ,0cbf09b9f0d3767395f1b68918b95c65,3.0,3.0
114,u:iMJJ,099dfb07f4ace185b82838c1fb5781ff,2.0,2.0
115,u:giZh,8ee8a4e20c47cc9487d0421d1997b384,2.0,2.0
116,u:favy,0146e7216d02bba1a08e6a23e4e744a9,2.0,4.0
117,u:fv07,ee9aede3dfe2bb51b154ca6a975b7c37,15.0,15.0
118,u:ghWi,743c58c5dd541b6bd8466547f730466d,5.0,5.0
119,u:iKFT,4facfa4eff94ff8fe71e46ee538be561,4.0,4.0
120,u:d9w2,46341b7c7585f24c7f59ddfd73e02fa9,4.0,4.0
121,u:izjc,ec3bf0aff1f9c75a64d44ac1f13289f0,2.0,2.0
122,u:i9Rf,08dfcd4e6c86bb047be6dc84e77ed664,2.0,2.0
123,u:iHUn,65e39bd07057893f74d8db10b367f7aa,3.0,4.0
124,u:d8Bv,572f3ff64f665273a18f47157cdf155a,3.0,3.0
125,u:ieXD,1560febf08aabe8ae17dd64bb2838142,5.0,5.0
126,u:idO8,af14b4e16acb4132ed19d8254d2bc59b,2.0,3.0
127,u:exsS,80fa96d931f22e78c4a1dd78eff7c9ed,2.0,4.0
128,u:hcMc,97e922f780d628eac638bea7a02bf496,32.0,33.0
129,u:hlQH,fe1bb609fdb6337a3524f43bad7c7468,3.0,3.0
130,u:g8yi,5e29d77697d23070a1fb92eb6c90e9b6,9.0,13.0
131,u:hh1g,165dc4d4b42c9d825cb913541fdd09a7,5.0,5.0
132,u:ilQC,efc2c65bd3a2ab7e0e2d4db65e290699,5.0,5.0
133,u:dhgb,a617ed646a251e339738ce62b84e61ce,23.0,26.0
134,u:iK7A,25dcc7b3420a56110835a165f02513c9,2.0,2.0
135,u:hFqk,fc1b93172eef30156a0b8c388c72571c,7.0,7.0
136,u:ifSz,0cbf09b9f0d3767395f1b68918b95c65,1.0,2.0
137,u:bJje,fec119369ceb49cb5b6d72a58c3e770e,19.0,20.0
138,u:coUf,5c1f70dd4ac671161963d4adbd17d725,3.0,3.0
139,u:g1Y4,4cf7cc58a60045f4396136f6368d8d41,2.0,3.0
140,u:h-dX,b75adbbe28bc61ff5bbeb6908e65d85d,3.0,3.0
141,u:hAls,3924f6a9c93fd8247ba3af6cdad8df98,7.0,7.0
142,u:fFed,0a27664dca412ad3c185ae7efc8b97a0,2.0,3.0
143,u:c0V7,96ed34b4722d866997d35cc228e04d49,6.0,7.0
144,u:gpnC,a617ed646a251e339738ce62b84e61ce,20.0,24.0
145,u:gmQn,59802924354797797d645bb352dd916b,3.0,3.0
146,u:hq_K,c84476c460737d9fb905dca3d35ec995,5.0,6.0
147,u:dtIG,715176b2531f23894fa17069ca039496,5.0,5.0
148,u:hBrR,f00cd5d54171096208a6a1e13ab02ab9,2.0,2.0
149,u:i6I3,74b2ac77cf1b5c548dee1241dd3667b9,2.0,2.0
150,u:iphb,f9fb279a9bd8900d84965a3296c4f746,6.0,7.0
151,u:iyov,b463895af72578dcff1d4ea2bb9eda76,3.0,3.0
152,u:-b,edce7ffcd6231f9e0457c7681fc8dfed,11.0,18.0
153,u:iqrR,7c332db2f5d81f34ff8cfeaccfcc6d8a,4.0,5.0
154,u:hyyK,608ad881489ab4fa4117a91ebd83d502,4.0,6.0
155,u:h061,caaea1433a04b31cbb4fd926ca77ad02,2.0,3.0
156,u:fziW,dc1e5b7d01d76c0719ee823c6b9c5b1f,2.0,2.0
157,u:ikz5,598a41cd84310715e45b6192564592a1,4.0,4.0
158,u:iHWn,8f1dc808b41b08007d5e66978fd78a4d,2.0,3.0
159,u:hdYR,100164559946674138e97c1e3830ccf4,17.0,18.0
160,u:iJos,1bb8aab6f857201d04364f1239756111,2.0,3.0
161,u:iXAY,0b1edc026029c010555cfc22f54ee25f,3.0,3.0
162,u:hWbw,ab94aae2b451eece63b55c712145ad61,9.0,9.0
163,u:fpnv,b941c4ff55c8affcf4aebffd45c759c0,4.0,6.0
164,u:iE--,7dd6b30fc37ca73482a4d629bd93dac0,3.0,3.0
165,u:h2yA,17231b4c24a46d2f7eb59cbc7ea01afd,2.0,3.0
166,u:hReY,e7e47c0b4857fed35b942459f2028006,25.0,27.0
167,u:ihAU,55a185fa7ff711effa4b6d9dd2c44cf1,3.0,3.0
168,u:iPS9,c9aba1059fc7d85806a21bf21745b817,2.0,4.0
169,u:h_nR,0a7ad985b6b19b5cfb4723f207220a3d,6.0,6.0
170,u:iij4,ca886bc339ea78c58abea6250665ad49,1.0,3.0
171,u:ii5O,f0f2727a8c1b436349fa2f07bc698945,3.0,3.0
172,u:eY8y,6897ada43d02c03eac85f1742c156402,6.0,7.0
173,u:ja3S,c52914f9db4d342553bbdc248e2c6f87,4.0,4.0
174,u:h6em,f9d3186a3a829083942aa09a75d1aae6,2.0,2.0
175,u:hjbU,f423850a19d3a8b7f7c206c2a9dfa733,7.0,10.0
176,u:imwc,46cd21495035f225d4fe8fc8552badc0,2.0,2.0
177,u:iwoI,5aa51924d40dbbb404d78bcfd3224157,4.0,4.0
178,u:cwkz,ec2421cd46a8a5886683b084aa8e2c5d,7.0,7.0
179,u:hLcP,c52914f9db4d342553bbdc248e2c6f87,4.0,4.0
180,u:i4U9,07605081e461f8cc70d0e27a91d1ba37,3.0,3.0
181,u:iQGx,90ac0b7f2a604a00fb4666f2bd134c8e,4.0,4.0
182,u:htr5,97e922f780d628eac638bea7a02bf496,6.0,8.0
183,u:h5nI,f0f2727a8c1b436349fa2f07bc698945,3.0,3.0
184,u:fNWu,60131921811cc603c6020e44443a5a2e,1.0,2.0
185,u:iwoc,d5efc552aaea3109eb5388aa1ec8673d,2.0,2.0
186,u:gOf3,4379705a8d98bfe266ead99cfc4f52f8,4.0,4.0
187,u:bcXm,4f6d1c5e51311ed7f0967f8d758049e7,3.0,5.0
188,u:iZ-A,603b7cd0d4d54eee91008645adccd258,4.0,7.0
189,u:hR_7,3839b01a06ad91ec9815ec5ac3b18c8d,3.0,3.0
190,u:ios9,f58ba94f5b6a07312e449a9987637f32,3.0,4.0
191,u:h3Fx,a617ed646a251e339738ce62b84e61ce,3.0,3.0
192,u:jaaD,4c998c157e95ac0978968b1de762afbc,3.0,3.0
193,u:iVZD,a52bc2771bde31d4d5e80bd29f350714,2.0,2.0
194,u:i1Ks,0db9e3b501108f13924dfacff858f7f2,2.0,2.0
195,u:dn3u,ab94aae2b451eece63b55c712145ad61,4.0,4.0
196,u:i55Q,c3c416ec9a16d9ec6f7b96236c5b49e2,2.0,3.0
197,u:i2g2,547bb1812414cec172b0afef5ca93fce,5.0,5.0
198,u:dF6z,93bce7507d07faa46b1fbc9671ca32b6,5.0,7.0
199,u:dxwi,e296b8e7737593b36ec7583275c790fe,4.0,4.0
200,u:ipr5,d94aa893b5c536f2a4664637d9bec191,4.0,4.0
201,u:e4Dx,a631b8e67d1dbf4c94cc73644ddf2a56,6.0,6.0
202,u:gPY3,1db792cce1abf1095ae81b27666cb996,13.0,15.0
203,u:TRj,8c8952fbf398f996438f9fd5a27f9d38,32.0,37.0
204,u:ixkU,af9481e863fdda9560e1d5020b9cd9a0,2.0,2.0
205,u:gQjj,91bd999e79fc6416be92695d01ed1c13,3.0,3.0
206,u:iE--,c3c416ec9a16d9ec6f7b96236c5b49e2,6.0,6.0
207,u:djyz,8ebdad2c57855e0e650745d06d9ed7bf,5.0,5.0
208,u:gHva,f04ae4d92d378e4436b0667d771e28ea,5.0,5.0
209,u:jaV_,d3619a3e50c3b522703d66166855d3bf,3.0,4.0
210,u:hPai,08b5bfeef548a7f46065768ba926e325,1.0,4.0
211,u:g5z,69cf4ad372fd80e76dc9deb52b092d3f,7.0,7.0
212,u:iv2v,fe72c841a54b9112e60870182236e00e,2.0,2.0
213,u:gD3g,4e2d55b6054492c18e7c6090bf577d6d,6.0,6.0
214,u:bJxm,943ed849b37dd6f8a773ef29456e4211,3.0,5.0
215,u:bBVC,4578d28172004742ef5c674639f58588,6.0,6.0
216,u:r1m,c9fb923e49d5cba24b5afb9ee1cff2a9,3.0,4.0
217,u:BLI,955c040cc84408f9e687f99d4778b03b,10.0,17.0
218,u:if3l,142ad0f32d08728de0f9955df5b83f32,3.0,3.0
219,u:iw_D,54ed4cf41cbbae2ce97ddda174b5be84,4.0,6.0
220,u:h0bJ,bc132fa899e138377a3d89eb3125a2f1,9.0,9.0
221,u:e4aA,297853cd5696e6152fccd24fefdd6c66,4.0,4.0
222,u:en9-,7070ddd564fccd8da0362941b8a647b8,1.0,3.0
223,u:iL5t,f3996a785b8d9fe04c44850c79a0a337,2.0,2.0
224,u:irAa,7a4e0c5345547c6e790a33b66ed3b820,1.0,2.0
225,u:iIKc,65675f993b9cdc38918837f561a70625,3.0,3.0
226,u:iaUm,7f79fc712e91f1e703bb5f805ab74e8a,2.0,2.0
227,u:hXd8,dd56956e9585f9534d2fe8fe2a7e3ebf,5.0,5.0
228,u:eAtE,c43c45c53082813dbdfa63971432f29c,2.0,4.0
229,u:in7L,d2d78ae80ee5cb844a0bfd9ea1bb4a81,4.0,5.0
230,u:h4HZ,f21d1bce33d8064e4aaabd6b28f5c1fa,2.0,2.0
231,u:cZG6,827a8ecb89f9b59ac5c29b620a5d3ed6,16.0,22.0
232,u:h2J4,087d9d0736df444d7ef826a313b613da,3.0,3.0
233,u:ik0d,0d7ce5a7bec9bfe876a8042abe8a2f7d,4.0,4.0
234,u:iR7G,6debf33c91876b19aa26095423ad0e3e,3.0,3.0
235,u:Poi,bd3599b1b4cc5623de51eba09bad546e,5.0,5.0
236,u:i2q1,928787744a962cd4ec55c1b22cedc913,3.0,3.0
237,u:ilpQ,6aff2ce97fb9554500fc1a7a28e02a13,3.0,3.0
238,u:iF4i,605a1c36da2cf22706eaad95b0b7eeee,9.0,10.0
239,u:hMyD,d50ab9ef5ef30559a83e80b8568d2933,9.0,9.0
240,u:hNk0,50629ad6c891b5b3f258b2fdb0e3cf82,3.0,3.0
241,u:is2V,b838f789252678299b0413df4b3d0ad9,2.0,2.0
242,u:gllL,1e1f8d730c4ba99ad2873a7608324cf6,24.0,25.0
243,u:EPf,7ae9420152203b89a2fcffa91546647b,6.0,6.0
244,u:hqHw,420b35b7670f247d452ae0a628e60b45,3.0,3.0
245,u:flTW,8bd6d060bb604e17c936418f835d87c8,24.0,24.0
246,u:iAV4,62a992ac2a5f346b5796b3f14732130e,4.0,4.0
247,u:iLGp,b1a71481e27138dc37501f2cbde775fc,8.0,8.0
248,u:iMhB,e35dd18fb95a8b59046eec582942fa64,2.0,2.0
249,u:hMmC,af88719c719b5cd59fe4272f9ab38966,3.0,3.0
250,u:h8df,fe794f0c148aaa470c272ffd0a9bdc1a,4.0,4.0
251,u:ifyN,577853bea646e596a8bd041fb781718a,7.0,7.0
252,u:je5T,b1b2b2203009f082a1cf172e42fa65a3,1.0,2.0
253,u:iTtL,d0705eafec00822b93bf9cc9a9189bba,3.0,3.0
254,u:bsHa,7dfd7086f3671685e2cf1c1da72796d7,3.0,3.0
255,u:hoLl,1ef8584238711d338df3a962b045cec7,3.0,3.0
256,u:gws,b35477755771250571cbda7c38221628,2.0,6.0
257,u:fUR6,dbed1e3aaf8703ccdf83c1afd2abdd37,2.0,2.0
258,u:gxXY,dfc953d62306359e46f8fe77fe4fa6c8,8.0,9.0
259,u:h1_w,6cce0be3f8da3755e423bfcae7cfefc1,3.0,5.0
260,u:bXkA,a58c618617e9d8a574e44ea5f24f738d,4.0,5.0
261,u:gq0f,9de5d8b1e1c934f0eb4a43e22c916143,4.0,4.0
262,u:hpVZ,192059cfe22cedd84cd400a9b1b47171,5.0,5.0
263,u:fPvN,b011cfb5fe75c6c239cac9a4d9c3949f,3.0,3.0
264,u:dfsa,2179fd8c281cec0879b28ef81510bf9d,47.0,51.0
265,u:iO-t,0cbf09b9f0d3767395f1b68918b95c65,5.0,7.0
266,u:ipYp,2b28e6b398b36d4f7f6ef0b7da31fd5c,4.0,4.0
267,u:hYzr,bde4e8d34615f749c75fefdbd0226881,2.0,2.0
268,u:jdKK,ddab585bb4af1b7e2636827363cd619e,4.0,4.0
269,u:inuJ,c032182c0ffb744c963ec83c937a26f4,3.0,3.0
270,u:iwEa,d0e80d740c4f2d0653951e65952c19d1,2.0,2.0
271,u:hlEw,efc6cd9e60a5a997c906ecad64813b1d,5.0,5.0
272,u:hutF,5b5e596558196de3e4fc1796ee5d47a6,2.0,3.0
273,u:M5X,5fbb4578c6e08d3122b2321720d682d7,10.0,12.0
274,u:d4OR,4adf5cd40d521b02a9cc241bf3adc6bb,51.0,52.0
275,u:g9YP,a11a7c418b1f2afd941e7d00ec52a461,2.0,2.0
276,u:imgr,cf27a39ca3fcc861581ba158307d9b1a,3.0,4.0
277,u:d26t,678bfa5d0ccd050c12395a792abaff12,3.0,3.0
278,u:ikja,a6d1be753de87a9ad446c29d4dc217b5,4.0,4.0
279,u:gHCc,577853bea646e596a8bd041fb781718a,3.0,3.0
280,u:iGfD,ef40e640cc9599341392b66d6b890c27,3.0,3.0
281,u:ie4s,8e2f03617a85d97f126dfb2293e7a368,4.0,4.0
282,u:hBWF,eee8ec127c1ba6f4751097e40977b587,7.0,10.0
283,u:gX82,97e922f780d628eac638bea7a02bf496,7.0,8.0
284,u:iTdT,a52bc2771bde31d4d5e80bd29f350714,2.0,3.0
285,u:do2K,9dbabaec86b4bd526c19d768ec0caf38,4.0,4.0
286,u:h8iN,7763a12338d58f83841580561e4c1ca2,3.0,3.0
287,u:f_h6,b573a2ebb834b1346202143003738756,7.0,8.0
288,u:gTol,4310561cd354b6cad1569d35856823f0,2.0,2.0
289,u:hZ6a,b85dad780881cd3228297b78258a96bf,3.0,3.0
290,u:hqQQ,476c6bf35d806e777f36041baf01df38,3.0,3.0
291,u:eEgg,958e352cb64f78feed5afb5b95657dbe,29.0,33.0
292,u:bW2J,9cbe4ff448a888bb327e212e6bb89b72,15.0,15.0
293,u:e27y,f3dab7cfcca078d46049e95802ea97fe,2.0,2.0
294,u:hIYf,7f15cb95be8b837c7bf1808406ae133a,3.0,3.0
295,u:iV5c,1a48463fb06455fe377001d22ca36364,4.0,5.0
296,u:hN9-,86584daef5933b284384453795bbf0ed,21.0,23.0
297,u:hR6G,fea199274abbc1c7354996f16f1525d5,5.0,5.0
298,u:fqZT,f857a8c1b24263f0b007ae82c24c008d,20.0,21.0
299,u:ibU0,a6d0c2d14b1f6261741d7840542f7022,6.0,6.0
300,u:U6,44208615c9076b387d27b5d510bb0a49,4.0,6.0
301,u:gZZ_,426041c35bef83b731e0fc51b8a551d1,10.0,14.0
302,u:gVb1,48caa96ec840ecefdc2eaa911c58dbf2,6.0,7.0
303,u:icWk,e1a4b73ededc4032627e418a3bb86cd0,3.0,3.0
304,u:cen-,3b6ad8feb25703b12d6049d11640d0e0,20.0,24.0
305,u:hJ1Z,35f14d06d95a34607d6abb0e52fc6d2b,35.0,36.0
306,u:gi1l,0466f54d69e71d498a406cfd76dd2902,7.0,8.0
307,u:eZrm,8511209b77493e62188ed5a4c8bf8421,4.0,4.0
308,u:iYpP,e5a09ea1bd469575ed000382d5cee176,4.0,4.0
309,u:fAOt,08ab17a23929f09a268153ddbf9827c0,17.0,18.0
310,u:fB_6,fea199274abbc1c7354996f16f1525d5,6.0,6.0
311,u:hPO9,1a913f2ded424985b9c02d0436008511,9.0,9.0
312,u:h9rr,a9d9e40ec966f6bf6a78080d8d1947ac,4.0,4.0
313,u:Vil,e9c1c486bb1cc26e726b83a7a522983b,2.0,2.0
314,u:is4p,3c83f19c090c27193c34f5d06a899c4a,2.0,2.0
315,u:enRY,e37ea218d78b3decc66348683deed8f6,5.0,7.0
316,u:iZUL,3ac396fd4e13c7952bafa99fcfd02d29,2.0,2.0
317,u:gYT8,5c2c879342c029c7be610695abb15bd5,5.0,6.0
318,u:bZvV,f00cd5d54171096208a6a1e13ab02ab9,12.0,12.0
319,u:dijU,0ba76e542975db89c0290ba705f4fe9d,1.0,3.0
320,u:izg8,a96439c6627d7b2447435b1a5f32eade,5.0,6.0
321,u:g-8o,c5a5d664ac5b4440b3da8613095dd840,6.0,6.0
322,u:iZvN,26f6b357718b150404303812a222e348,1.0,2.0
323,u:gdP8,d05af64f9110a30ebb4eb77afc07649d,2.0,3.0
324,u:iXj6,460df3319771193f63a3f4bb5a5eeef6,3.0,3.0
325,u:i_ah,f68f2010558742b836f8a364a4382d3f,3.0,3.0
326,u:ihAF,cff2d760888774c8011ed92d80ae3312,2.0,3.0
327,u:2R-,00b9a8a85efcc967dedf57d9ac0082fa,2.0,3.0
328,u:bWwF,a456b06f9066277fb26d5babfc845cd5,5.0,5.0
329,u:h0Lx,17bbece268a95c1fbf901788c16f43bf,4.0,5.0
330,u:iGbU,6c95fbf9992315caf14ca36de8fc06d1,2.0,2.0
331,u:iyWG,524fef1786d366bf49813def1458a181,4.0,4.0
332,u:hniu,e0aa39569dc04dde716999653ed53a0e,10.0,10.0
333,u:gCQF,6d67c94cb5df94bae1d8f5f101db72a7,4.0,4.0
334,u:ht-T,f5bc4621130722269115f852924eb136,4.0,4.0
335,u:iiUo,70273bd4e2ae4fe0a1807d462acf8edc,12.0,12.0
336,u:f8vx,00e6945d22634ee47e05c727a4d4c183,4.0,4.0
337,u:gRBk,01669d9689c5cf2ec04c58a893f02ab6,9.0,10.0
338,u:h5ge,06f82513d22cdcf817378f4da4990438,5.0,7.0
339,u:dmi5,4aed34810465d9b4bd3d3d21244d7e4b,3.0,4.0
340,u:iubm,8f1dc808b41b08007d5e66978fd78a4d,7.0,7.0
341,u:ichc,d69a73469d92e724199aa03407b4d656,5.0,5.0
342,u:ilU2,8dce1427e92b20185ec503c7b93f24ff,4.0,4.0
343,u:iNue,fcf4569c3882c32dc5f9c17114cc1841,4.0,4.0
344,u:f5LD,025ab8349ba0caa729c4f12cb47fc3be,7.0,10.0
345,u:hr2Y,0f0690975c20591df0c5f7f9fdfed6d9,2.0,2.0
346,u:iLpp,f8ff4fc9fac1637c7e8abecc0d2464db,3.0,3.0
347,u:hQRb,c1caf9c9173659451013b230299ae7b3,2.0,3.0
348,u:gCnq,d241cf80b2938ee47c4bc4ebfc77930d,4.0,4.0
349,u:dlC1,86ab0bbefc02a331649c9c23f572f729,6.0,6.0
350,u:iwYT,84e18e86c58e8e61d687dfa06b3aaa36,13.0,14.0
351,u:i4o6,caaea1433a04b31cbb4fd926ca77ad02,3.0,4.0
352,u:gQnk,61f0219c249a2552b2f476d0f72deb72,3.0,3.0
353,u:hXXA,abd192827bd31c65511f1b1511c7f40a,2.0,4.0
354,u:iH6V,f21a429c717dd93b9f5723f20d87ab8a,3.0,3.0
355,u:fyEd,d70617063e4c822f77fb79ed7d355b33,9.0,10.0
356,u:i_mP,827a8ecb89f9b59ac5c29b620a5d3ed6,4.0,4.0
357,u:hyaI,2ccf96c640650a5b0d7f07028cb4d871,3.0,3.0
358,u:d9lv,17632879145d3e2737d11a3a5053dd50,2.0,2.0
359,u:h3A3,80765ae2a08ba6812a4ab9df607b97d2,8.0,10.0
